text,label,notes
Woke up to the trade news. Genuinely stunned. Don't know how to feel.,reaction,
That's the most disrespectful dunk I've ever seen in my life.,reaction,
We gave up a 20-point lead in the fourth again. I'm begging. I'm on my knees begging.,reaction,
Every single person in this arena is on their feet. What a moment.,reaction,
He just dropped 52. On 68% shooting. In a playoff elimination game. I'm not okay.,reaction,
Injury news just dropped and I feel physically ill. Please let it be minor.,reaction,
That's the play of the year. Maybe the decade. I need to watch it 50 more times.,reaction,
Overtime. Again. This team is going to kill me and I deserve it for watching.,reaction,
The shot went in. I screamed. My neighbor called to check if I was okay.,reaction,
This roster move makes zero sense and I need someone to explain it to me right now.,reaction,
Can't stop smiling. First playoff win in seven years. This actually happened.,reaction,
He just hit four threes in a row and the arena is losing its mind.,reaction,
That foul call ended the game. I'm physically upset. I need to go for a walk.,reaction,
Game 7 on the road and they HELD ON. I've never been so stressed and so happy at the same time.,reaction,
The buzzer went off and I just sat there in silence for five minutes.,reaction,
Down 3-1 and they came back. This team is different. I believe now.,reaction,
He posted a triple-double in 28 minutes off the bench. I don't understand what I just saw.,reaction,
Free throw with 1.2 seconds left. I couldn't watch. I had to watch. He made it.,reaction,
The trade rumors were real. It's official. I genuinely don't know what to say.,reaction,
That's an all-time poster. Frame it. Put it in a museum.,reaction,
Our closer missed two free throws at the end again and I need everyone to leave me alone.,reaction,
Walk-off shot. Building erupted. I've watched the clip 12 times already.,reaction,
That's back-to-back 40-point games in the playoffs. Someone check on the other team.,reaction,
Series over and I just want to say I'm proud of this team. They gave everything.,reaction,
He just won Rookie of the Year and he's 19. I feel old and amazed at the same time.,reaction,
THE BLOCK. THE STEAL. THE LAYUP. ALL OF IT IN THE LAST 12 SECONDS. I'M DONE.,reaction,
Down 18 with 7 minutes left. And we won. HOW.,reaction,
Contract extension announced and the whole fanbase just exhaled at the same time.,reaction,
That's the most clutch shot I've seen this season. Unbelievable.,reaction,
Our bench outscored their starters by 30. I've never seen anything like it.,reaction,
Championship parade is tomorrow and it still doesn't feel real.,reaction,
Lost in 5 and I'm not even mad. That was a good series. They were just better.,reaction,
"He looked at the defender, smiled, then did it anyway. I love this league.",reaction,
Draft pick just worked out and I need everyone to know I said he was special two years ago.,reaction,
Just got home from the game. My voice is gone. Worth it.,reaction,
That game just made me remember why I started watching basketball 25 years ago.,reaction,
He's crying on the court after the game. I'm crying on my couch. We're all crying.,reaction,
First championship in franchise history and I don't know what to do with myself.,reaction,
GOODNIGHT. IT'S OVER. I'M GOING TO BED. WE WON.,reaction,
